league,club,expected_filename
"Italy - Serie B","Ascoli Calcio","ascoli-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","SS Arezzo","ss-arezzo.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Benevento Calcio","benevento-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Hellas Verona","hellas-verona.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Pisa SC","pisa-sc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","US Avellino","us-avellino.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Carrarese Calcio","carrarese-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","US Catanzaro","us-catanzaro.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Cesena FC","cesena-fc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Empoli FC","empoli-fc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","SS Juve Stabia","ss-juve-stabia.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Mantova 1911","mantova-1911.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Modena Calcio","modena-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Padova Calcio","padova-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Palermo FC","palermo-fc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","UC Sampdoria","uc-sampdoria.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","FC Südtirol","fc-sudtirol.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","LR Vicenza Virtus","lr-vicenza-virtus.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","Virtus Entella","virtus-entella.<svg|png|jpg|jpeg|webp>"
"Italy - Serie B","US Cremonese","us-cremonese.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","SSC Bari","ssc-bari.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AC Reggiana","ac-reggiana.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Pescara Calcio","pescara-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","UC AlbinoLeffe","uc-albinoleffe.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","ASD Alcione","asd-alcione.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","ASD FC Arzignano Valchiampo","asd-fc-arzignano-valchiampo.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AS Cittadella","as-cittadella.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AC Dolomiti Bellunesi","ac-dolomiti-bellunesi.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AS Giana Erminio","as-giana-erminio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Inter Milan U23","inter-milan-u23.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Calcio Lecco","calcio-lecco.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AC Lumezzane","ac-lumezzane.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Novara FC","novara-fc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AC Ospitaletto","ac-ospitaletto.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","US Pergolettese 1932","us-pergolettese-1932.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Aurora Pro Patria","aurora-pro-patria.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Pro Vercelli","pro-vercelli.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AC Renate","ac-renate.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","AC Trento","ac-trento.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Union Brescia","union-brescia.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Virtus Verona","virtus-verona.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Triestina SSD","triestina-ssd.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone A","Spezia Calcio","spezia-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","AC Bra","ac-bra.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","SSD Campobasso","ssd-campobasso.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","AC Carpi","ac-carpi.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Forlì FC","forli-fc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","AS Gubbio 1910","as-gubbio-1910.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Guidonia Montecelio","guidonia-montecelio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Juventus Next Gen","juventus-next-gen.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","US Livorno 1915","us-livorno-1915.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","AC Perugia","ac-perugia.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","US Pianese","us-pianese.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","ASD Pineto","asd-pineto.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","US Pontedera","us-pontedera.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Ravenna FC","ravenna-fc.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","AC Rimini","ac-rimini.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Sambenedettese Calcio","sambenedettese-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Ternana Calcio","ternana-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","SEF Torres","sef-torres.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone B","Vis Pesaro 1898","vis-pesaro-1898.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Atalanta BC U23","atalanta-bc-u23.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Audace Cerignola","audace-cerignola.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","AZ Picerno","az-picerno.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","SSD Casarano","ssd-casarano.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Casertana","casertana.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Catania SSD","catania-ssd.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","SS Cavese","ss-cavese.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Cozenza Calcio","cozenza-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","FC Crotone","fc-crotone.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Giugliano Calcio","giugliano-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Latina Calcio 1932","latina-calcio-1932.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Monopoli Calcio","monopoli-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Potenza Calcio","potenza-calcio.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","US Salernitana","us-salernitana.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","US Siracusa","us-siracusa.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Sorrento 1945","sorrento-1945.<svg|png|jpg|jpeg|webp>"
"Italy - Serie C Girone C","Team Altamura","team-altamura.<svg|png|jpg|jpeg|webp>"
